id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated,market_cap_mm
based-brett,brett,Brett,https://coin-images.coingecko.com/coins/images/35529/large/1000050750.png?1709031995,0.17277,1713735326.0,66.0,1713735308.0,298541313.0,0.191253,0.141812,0.0242113,16.29746,242259919.0,16.46374,9910112130.0759,9910112023.76992,9999998988.0,0.193328,-9.96651,2024-06-09T12:55:51.835Z,0.00084753,20437.36603,2024-02-29T08:40:24.951Z,,2024-11-15T13:24:56.051Z,1713.735308
degen-base,degen,Degen (Base),https://coin-images.coingecko.com/coins/images/34515/large/android-chrome-512x512.png?1706198225,0.02878246,499826644.0,175.0,1077643366.0,456187347.0,0.03102549,0.02038733,0.0083478,40.8512,144655888.0,40.72855,17145337963.22,36965935954.0,36965935954.0,0.064543,-54.64568,2024-03-31T20:22:27.147Z,2.255e-05,129706.25366,2024-01-15T05:47:46.931Z,,2024-11-15T13:24:57.873Z,1077.643366
toshi,toshi,Toshi,https://coin-images.coingecko.com/coins/images/31126/large/Toshi_Logo_-_Circular.png?1721677476,0.00032867,138352005.0,401.0,138352005.0,7061291.0,0.00033108,0.00027607,4.4e-05,15.45803,18423735.0,15.3623,420690000000.0,420690000000.0,420690000000.0,0.00079383,-58.36659,2024-04-08T09:00:30.373Z,1.8963e-08,1742710.78763,2023-10-09T16:05:26.462Z,,2024-11-15T13:24:55.204Z,138.352005
keyboard-cat-base,keycat,Keyboard Cat (Base),https://coin-images.coingecko.com/coins/images/36608/large/keyboard_cat.jpeg?1711965348,0.01297649,129525353.0,418.0,129525353.0,8927539.0,0.01585028,0.01028009,0.00129526,11.08836,11210182.0,9.47485,10000000000.0,10000000000.0,10000000000.0,0.01585028,-18.63395,2024-11-15T10:15:50.320Z,0.00022064,5745.20858,2024-08-05T12:46:04.502Z,,2024-11-15T13:24:59.830Z,129.525353
mister-miggles,miggles,Mister Miggles,https://coin-images.coingecko.com/coins/images/39251/large/miggles.jpg?1721283044,0.129801,126896478.0,417.0,126896478.0,29108023.0,0.134028,0.06823,0.056378,76.78411,56515867.0,80.30034,958764877.7915385,958764877.7915385,1000000000.0,0.134028,-1.49281,2024-11-15T12:30:41.553Z,0.01288409,924.72888,2024-08-05T06:31:54.519Z,,2024-11-15T13:25:00.933Z,126.896478
doginme,doginme,doginme,https://coin-images.coingecko.com/coins/images/35123/large/doginme-logo1-transparent200.png?1710856784,0.00091118,63371422.0,659.0,63371422.0,2484356.0,0.00096322,0.00065488,0.00012602,16.04971,10281861.0,19.36701,67619999999.99996,67619999999.99996,69000000000.0,0.00177931,-47.94318,2024-03-25T14:49:16.065Z,3.99e-06,23092.6447,2024-02-09T03:23:12.727Z,,2024-11-15T13:24:57.850Z,63.371422
higher,higher,higher,https://coin-images.coingecko.com/coins/images/36084/large/200x200logo.png?1710427814,0.061875,62045194.0,658.0,62045194.0,2280934.0,0.064861,0.04926568,0.00728974,13.35469,9397015.0,17.8487,1000000000.0,1000000000.0,1000000000.0,0.114177,-44.70846,2024-04-04T03:24:05.700Z,0.00086388,7207.7824,2024-03-19T11:32:59.611Z,,2024-11-15T13:25:02.093Z,62.045194
basenji,benji,Basenji,https://coin-images.coingecko.com/coins/images/36416/large/ben200x200.jpg?1711420807,0.051989,51990807.0,729.0,51990807.0,2478642.0,0.056216,0.03601148,0.00662737,14.61025,6509435.0,14.31231,1000000000.0,1000000000.0,1000000000.0,0.104985,-49.96483,2024-06-10T04:30:56.937Z,0.0087781,498.41698,2024-05-14T14:51:22.348Z,,2024-11-15T13:24:55.381Z,51.990807
mfercoin,mfer,mfercoin,https://coin-images.coingecko.com/coins/images/36550/large/mfercoin-logo.png?1711876821,0.04785075,47814836.0,765.0,47814836.0,11232325.0,0.04847957,0.03384925,0.01082817,29.24747,10808120.0,29.20584,999998066.04,999998066.04,1000000000.0,0.263597,-81.84189,2024-03-31T13:30:38.574Z,0.00789423,506.32009,2024-09-06T21:06:41.047Z,,2024-11-15T13:25:01.341Z,47.814836
ski-mask-dog,ski,Ski Mask Dog,https://coin-images.coingecko.com/coins/images/37195/large/32992128-F52F-4346-84CA-8E0C48F43606.jpeg?1713676521,0.04571439,45408105.0,783.0,45408105.0,6106622.0,0.054207,0.03794187,-0.001145334903789874,-2.44418,-1533963.8294838667,-3.26778,1000000000.0,1000000000.0,1000000000.0,0.054207,-16.88555,2024-11-15T04:20:49.640Z,0.00040261,11090.5207,2024-09-17T01:22:02.031Z,,2024-11-15T13:24:53.578Z,45.408105
