symbol,name,current_price,market_cap_rank,total_volume,price_change_percentage_24h,ath,ath_date,market_cap_mm,contract_address,meme,base_ecosystem,cat_themed,base_meme,dog_themed,farcaster_ecosystem,frog_themed,the_boy’s_club,solana_ecosystem,ai_meme,parody_meme,layer_3_(l3),bnb_chain_ecosystem,avalanche_ecosystem,arbitrum_ecosystem,ethereum_ecosystem,shibarium_ecosystem,hybrid_token_standards,solana_meme,politifi,launchpad,fantom_ecosystem,ton_ecosystem,ton_meme,country_themed_meme,polygon_ecosystem,gaming_(gamefi),nft,on_chain_gaming,erc_404,inscriptions,erc20i
brett,Brett,0.178871,69.0,318138271.0,10.87326,0.193396,2024-11-16T02:20:45.363Z,1772.026421,0x532f27101965dd16442e59d40670faf5ebb142e4,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
degen,Degen (Base),0.026922,184.0,348548562.0,6.81482,0.064543,2024-03-31T20:22:27.147Z,462.806194,0x4ed4e862860bed51a9570b96d89af5e1b0efefed,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
toshi,Toshi,0.00039901,369.0,11472399.0,39.90295,0.00079383,2024-04-08T09:00:30.373Z,164.407219,0xac1bd2486aaf3b5c0fc3fd868558b082a531b2b4,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
keycat,Keyboard Cat (Base),0.01482317,388.0,8553280.0,18.9877,0.01585028,2024-11-15T10:15:50.320Z,148.478984,0x9a26f5433671751c3276a065f57e5a02d2817973,1.0,1.0,1.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
miggles,Mister Miggles,0.150089,395.0,31585312.0,94.84579,0.172773,2024-11-15T22:20:49.942Z,144.68027,0xb1a03eda10342529bbf8eb700a06c60441fef25d,1.0,1.0,1.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
benji,Basenji,0.056309,710.0,5519978.0,44.39841,0.104985,2024-06-10T04:30:56.937Z,56.167475,0xbc45647ea894030a4e9801ec03479739fa2485f0,1.0,1.0,0.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
higher,higher,0.052876,730.0,2267479.0,0.28689,0.114177,2024-04-04T03:24:05.700Z,53.970047,0xbc45647ea894030a4e9801ec03479739fa2485f0,1.0,1.0,0.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mfer,mfercoin,0.053172,736.0,15290640.0,43.99943,0.263597,2024-03-31T13:30:38.574Z,53.247257,0xe3086852a4b125803c815a158249ae468a3254ca,1.0,1.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
doginme,doginme,0.00074288,760.0,3039173.0,-9.95309,0.00177931,2024-03-25T14:49:16.065Z,50.233428,0x6921b130d297cc43754afba22e5eac0fbf8db75b,1.0,1.0,0.0,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ski,Ski Mask Dog,0.04259362,819.0,4397926.0,-14.98966,0.054207,2024-11-15T04:20:49.640Z,42.501815,0x768be13e1680b5ebe0024c42c896e3db59ec0149,1.0,1.0,0.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
